0	0.000
1	-0.009
2	-0.041
3	-0.099
4	-0.171
5	-0.239
6	-0.290
7	-0.321
8	-0.343
9	-0.356
10	-0.339
11	-0.266
12	-0.124
13	0.070
14	0.294
15	0.523
16	0.734
17	0.899
18	0.998
19	1.023
20	0.977
21	0.870
22	0.720
23	0.553
24	0.387
25	0.230
26	0.087
27	-0.031
28	-0.112
29	-0.155
30	-0.170
31	-0.169
32	-0.158
33	-0.134
34	-0.100
35	-0.065
36	-0.043
37	-0.044
38	-0.060
39	-0.080
40	-0.095
41	-0.109
42	-0.125
43	-0.138
44	-0.147
45	-0.160
46	-0.190
47	-0.240
48	-0.297
49	-0.347
50	-0.378
51	-0.391
52	-0.390
53	-0.380
54	-0.358
55	-0.319
56	-0.266
57	-0.208
58	-0.152
59	-0.094
60	-0.025
61	0.056
62	0.138
63	0.209
64	0.264
65	0.307
66	0.340
67	0.354
68	0.337
69	0.287
70	0.221
71	0.163
72	0.128
73	0.115
74	0.116
75	0.129
76	0.163
77	0.226
78	0.310
79	0.393
80	0.452
81	0.473
82	0.448
83	0.372
84	0.234
85	0.040
86	-0.192
87	-0.428
88	-0.642
89	-0.813
90	-0.918
91	-0.935
92	-0.860
93	-0.714
94	-0.530
95	-0.341
96	-0.161
97	0.003
98	0.145
99	0.261
100	0.346
101	0.404
102	0.440
103	0.464
104	0.483
105	0.492
106	0.479
107	0.431
108	0.350
109	0.252
110	0.154
111	0.062
112	-0.028
113	-0.124
114	-0.212
115	-0.270
116	-0.288
117	-0.275
118	-0.252
119	-0.221
120	-0.167
121	-0.080
122	0.027
123	0.123
124	0.185
125	0.212
126	0.213
127	0.193
128	0.151
129	0.093
130	0.040
131	0.016
132	0.029
133	0.068
134	0.126
135	0.206
136	0.305
137	0.393
138	0.429
139	0.391
140	0.290
141	0.152
142	-0.008
143	-0.187
144	-0.382
145	-0.576
146	-0.744
147	-0.861
148	-0.917
149	-0.919
150	-0.884
151	-0.826
152	-0.744
153	-0.636
154	-0.504
155	-0.359
156	-0.213
157	-0.074
158	0.055
159	0.167
160	0.256
161	0.314
162	0.344
163	0.347
164	0.332
165	0.307
166	0.281
167	0.263
168	0.256
169	0.258
170	0.263
171	0.269
172	0.271
173	0.269
174	0.261
175	0.248
176	0.227
177	0.195
178	0.150
179	0.093
180	0.032
181	-0.027
182	-0.076
183	-0.111
184	-0.130
185	-0.131
186	-0.113
187	-0.075
188	-0.024
189	0.031
190	0.079
191	0.113
192	0.129
193	0.123
194	0.095
195	0.044
196	-0.026
197	-0.103
198	-0.173
199	-0.214
200	-0.210
201	-0.158
202	-0.072
203	0.030
204	0.127
205	0.207
206	0.260
207	0.275
208	0.246
209	0.174
210	0.068
211	-0.055
212	-0.180
213	-0.290
214	-0.366
215	-0.392
216	-0.365
217	-0.287
218	-0.173
219	-0.038
220	0.094
221	0.200
222	0.259
223	0.264
224	0.220
225	0.135
226	0.025
227	-0.094
228	-0.202
229	-0.281
230	-0.327
231	-0.343
232	-0.341
233	-0.327
234	-0.308
235	-0.288
236	-0.271
237	-0.256
238	-0.241
239	-0.217
240	-0.173
241	-0.098
242	0.014
243	0.156
244	0.303
245	0.428
246	0.512
247	0.544
248	0.518
249	0.428
250	0.278
251	0.080
252	-0.145
253	-0.370
254	-0.566
255	-0.708
256	-0.773
257	-0.756
258	-0.663
259	-0.508
260	-0.303
261	-0.063
262	0.194
263	0.450
264	0.684
265	0.874
266	1.002
267	1.050
268	1.000
269	0.837
270	0.566
271	0.210
272	-0.192
273	-0.602
274	-0.986
275	-1.312
276	-1.540
277	-1.640
278	-1.603
279	-1.441
280	-1.172
281	-0.810
282	-0.367
283	0.136
284	0.661
285	1.167
286	1.621
287	1.997
288	2.265
289	2.386
290	2.324
291	2.062
292	1.616
293	1.023
294	0.339
295	-0.365
296	-1.003
297	-1.490
298	-1.757
299	-1.773
300	-1.552
301	-1.150
302	-0.652
303	-0.152
304	0.268
305	0.553
306	0.671
307	0.627
308	0.461
309	0.242
310	0.048
311	-0.058
312	-0.040
313	0.099
314	0.328
315	0.592
316	0.817
317	0.932
318	0.886
319	0.662
320	0.280
321	-0.199
322	-0.690
323	-1.096
324	-1.339
325	-1.378
326	-1.214
327	-0.883
328	-0.449
329	0.007
330	0.394
331	0.635
332	0.687
333	0.551
334	0.268
335	-0.097
336	-0.471
337	-0.778
338	-0.954
339	-0.966
340	-0.823
341	-0.568
342	-0.257
343	0.059
344	0.338
345	0.545
346	0.662
347	0.689
